Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-41: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-29: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-12: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-23: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-103: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-14: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 7-18: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-105: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-18: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 10-26: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 3-99: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode character '\u4ece' in position 0: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-11: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-7: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 5-37: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode character '\u81ea' in position 0: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-11: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-125: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-7: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-72: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:05 2020:	'charmap' codec can't encode characters in position 0-54: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode character '\U0001f9be' in position 0: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-1: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-41: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-29: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-12: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-23: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-103: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-14: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 7-18: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-105: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-18: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 10-26: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 3-99: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode character '\u4ece' in position 0: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-11: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-7: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 5-37: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode character '\u81ea' in position 0: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-11: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-125: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-7: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-72: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:19:06 2020:	'charmap' codec can't encode characters in position 0-54: character maps to <undefined>-data/2020.txt
Wed Nov  4 23:20:51 2020:	'charmap' codec can't encode character '\U0001f680' in position 20: character maps to <undefined>-data/eth2-quick-update-no-19.txt
Wed Nov  4 23:20:51 2020:	'charmap' codec can't encode character '\U0001f680' in position 97: character maps to <undefined>-data/eth2-quick-update-no-19.txt
Wed Nov  4 23:20:51 2020:	'charmap' codec can't encode character '\U0001f680' in position 20: character maps to <undefined>-data/eth2-quick-update-no-19.txt
Wed Nov  4 23:20:51 2020:	'charmap' codec can't encode character '\U0001f680' in position 97: character maps to <undefined>-data/eth2-quick-update-no-19.txt
Wed Nov  4 23:20:56 2020:	'charmap' codec can't encode character '\U0001f680' in position 14: character maps to <undefined>-data/eth2-quick-update-no-18.txt
Wed Nov  4 23:20:56 2020:	'charmap' codec can't encode character '\U0001f680' in position 14: character maps to <undefined>-data/eth2-quick-update-no-18.txt
Wed Nov  4 23:20:56 2020:	'charmap' codec can't encode character '\U0001f4e3' in position 0: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Wed Nov  4 23:20:56 2020:	'charmap' codec can't encode character '\U0001f389' in position 43: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Wed Nov  4 23:20:56 2020:	'charmap' codec can't encode character '\u2705' in position 77: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Wed Nov  4 23:20:56 2020:	'charmap' codec can't encode character '\ufe0f' in position 37: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Wed Nov  4 23:20:57 2020:	'charmap' codec can't encode character '\U0001f4e3' in position 0: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Wed Nov  4 23:20:57 2020:	'charmap' codec can't encode character '\U0001f389' in position 43: character maps to <undefined>-data/eth2-quick-update-no-17.txt
Wed Nov  4 23:20:57 2020:	'charmap' codec can't encode character '\u2705' in position 77: character maps to <undefined>-data/eth2-quick-update-no-17.txt
